"File","Line","Type","Value","Content"
"PROJE_RAPOR.txt","219","Percentage","79.7","#     Out=5: %81.6 â†’ %79.7 (benzer)"
"PROJE_RAPOR.txt","227","Percentage","49.83","# ARIMA ort     | %49.83    | %51.34    | +1.51  â†‘"
"PROJE_RAPOR.txt","227","Percentage","51.34","# ARIMA ort     | %49.83    | %51.34    | +1.51  â†‘"
"PROJE_RAPOR.txt","228","Percentage","55.83","# LSTM tech ort | %55.83    | %50.52    | -5.31  â†“"
"PROJE_RAPOR.txt","228","Percentage","50.52","# LSTM tech ort | %55.83    | %50.52    | -5.31  â†“"
"PROJE_RAPOR.txt","229","Percentage","56.79","# CNN tech ort  | %56.79    | %49.55    | -7.24  â†“"
"PROJE_RAPOR.txt","229","Percentage","49.55","# CNN tech ort  | %56.79    | %49.55    | -7.24  â†“"
"PROJE_RAPOR.txt","230","Percentage","48.09","# Naive Out=1   | %48.09    | %53.11    | +5.02  â†‘"
"PROJE_RAPOR.txt","230","Percentage","53.11","# Naive Out=1   | %48.09    | %53.11    | +5.02  â†‘"
"PROJE_RAPOR.txt","231","Percentage","81.56","# Naive Out=5   | %81.56    | %79.73    | -1.83  â†“"
"PROJE_RAPOR.txt","231","Percentage","79.73","# Naive Out=5   | %81.56    | %79.73    | -1.83  â†“"
"PROJE_RAPOR.txt","247","Percentage","96.97","#   ARIMA: ~%97-100 (8/9 konfigÃ¼rasyonda %100, bir %96.97)"
"PROJE_RAPOR.txt","260","Percentage","57.58","#     AralÄ±k: %57.58 - %80.65"
"PROJE_RAPOR.txt","260","Percentage","80.65","#     AralÄ±k: %57.58 - %80.65"
"PROJE_RAPOR.txt","261","Percentage","80.65","#     En iyi: Output=5 â†’ %80.65 (In=2 ve In=6, Best_d=0/1)"
"PROJE_RAPOR.txt","262","Percentage","57.58","#     En kÃ¶tÃ¼: In=4, Out=3 â†’ %57.58"
"PROJE_RAPOR.txt","265","Percentage","68.89","#     En iyi non-MC: full, In=2, Out=5 â†’ %68.89 (Spec=0.667)"
"PROJE_RAPOR.txt","265","Float","0.667","#     En iyi non-MC: full, In=2, Out=5 â†’ %68.89 (Spec=0.667)"
"PROJE_RAPOR.txt","266","Percentage","66.67","#     full, In=4, Out=5 â†’ %66.67 (Spec=0.6)"
