"Fon","Feature_Set","Input","Output","Dropout","Filters","Kernel","Dense","Seed_23","Seed_27","Seed_98","Mean_Acc","SD","Min_Acc","Max_Acc","P_Value","F1","Sens","Spec"
"AZS","technical",6,3,0.3,"64-128-256",3,64,0.75,0.6786,0.5357,0.6548,0.1091,0.5357,0.75,0.0063,0.8571,1,0
"AZS","technical",6,5,0.2,"32-64-128",5,128,0.8077,0.5385,0.5769,0.641,0.1456,0.5385,0.8077,0.0012,0.8936,1,0
"AZS","closing",2,1,0.2,"32-64-128",3,64,0.6765,0.6765,0.6765,0.6765,0,0.6765,0.6765,0.0288,0.807,1,0
"AZS","closing",2,3,0.2,"32-64-128",3,64,0.7188,0.7188,0.7188,0.7188,0,0.7188,0.7188,0.01,0.8364,1,0
"AZS","closing",2,5,0.2,"32-64-128",3,64,0.8,0.8,0.2,0.6,0.3464,0.2,0.8,7e-04,0.8889,1,0
"AZS","closing",4,1,0.2,"32-64-128",3,64,0.6875,0.3125,0.3125,0.4375,0.2165,0.3125,0.6875,0.0251,0.8148,1,0
"AZS","closing",4,3,0.2,"32-64-128",3,64,0.2667,0.7333,0.8667,0.6222,0.3151,0.2667,0.8667,0,0.9167,1,0.5
"AZS","closing",4,5,0.4,"32-64-128",3,64,0.1786,0.1786,0.6071,0.3214,0.2474,0.1786,0.6071,0.1725,0.6857,0.5217,1
"AZS","closing",6,1,0.2,"32-64-128",3,64,0.3,0.5333,0.3,0.3778,0.1347,0.3,0.5333,0.4278,0.6667,0.6667,0.2222
"AZS","closing",6,3,0.2,"32-64-128",3,64,0.25,0.25,0.25,0.25,0,0.25,0.25,0.9981,NA,0,1
"AZS","closing",6,5,0.3,"32-64-128",3,64,0.3077,0.1923,0.1923,0.2308,0.0666,0.1923,0.3077,0.9855,0.4375,0.3333,0.2
"AMZ","full",2,1,0.2,"32-64-128",3,64,0.4706,0.5882,0.5294,0.5294,0.0588,0.4706,0.5882,0.1958,0.7308,0.7917,0.1
"AMZ","full",2,3,0.3,"64-128-256",3,128,0.5,0.4062,0.5938,0.5,0.0938,0.4062,0.5938,0.1885,0.7347,0.72,0.1429
"AMZ","full",2,5,0.4,"32-64-128",3,64,0.7667,0.8,0.7333,0.7667,0.0333,0.7333,0.8,7e-04,0.8889,1,0
"AMZ","full",4,1,0.4,"32-64-128",3,64,0.5625,0.75,0.5,0.6042,0.1301,0.5,0.75,0.0035,0.8182,0.7826,0.6667
"AMZ","full",4,3,0.3,"32-64-128",3,256,0.5667,0.6,0.6,0.5889,0.0192,0.5667,0.6,0.1808,0.7391,0.7391,0.1429
"AMZ","full",4,5,0.4,"64-128-256",3,64,0.4286,0.5,0.5,0.4762,0.0412,0.4286,0.5,0.5747,0.6111,0.5,0.5
"AMZ","full",6,1,0.4,"32-64-128",3,128,0.6333,0.6333,0.5667,0.6111,0.0385,0.5667,0.6333,0.1002,0.7442,0.7619,0.3333
"AMZ","full",6,3,0.3,"64-128-256",3,128,0.75,0.5714,0.5714,0.631,0.1031,0.5714,0.75,0.0063,0.8372,0.8571,0.4286
"AMZ","full",6,5,0.3,"32-64-128",3,128,0.7692,0.6923,0.7308,0.7308,0.0385,0.6923,0.7692,0.0047,0.8571,0.9,0.3333
"AMZ","technical",2,1,0.3,"32-64-128",3,64,0.6471,0.7059,0.5588,0.6373,0.074,0.5588,0.7059,0.0122,0.8077,0.875,0.3
"AMZ","technical",2,3,0.4,"32-64-128",3,64,0.7812,0.8125,0.5938,0.7292,0.1183,0.5938,0.8125,3e-04,0.8889,0.96,0.2857
"AMZ","technical",2,5,0.2,"32-64-128",3,128,0.5667,0.5667,0.8,0.6444,0.1347,0.5667,0.8,7e-04,0.8889,1,0
"AMZ","technical",4,1,0.4,"32-64-128",3,64,0.5,0.4688,0.4688,0.4792,0.018,0.4688,0.5,0.57,0.5556,0.4348,0.6667
"AMZ","technical",4,3,0.4,"64-128-256",3,64,0.5667,0.5667,0.5333,0.5556,0.0192,0.5333,0.5667,0.2923,0.6667,0.5652,0.5714
"AMZ","technical",4,5,0.4,"32-64-128",3,128,0.7857,0.7857,0.6429,0.7381,0.0825,0.6429,0.7857,0.0019,0.875,0.9545,0.1667
"AMZ","technical",6,1,0.3,"32-64-128",3,64,0.6,0.5667,0.6667,0.6111,0.0509,0.5667,0.6667,0.0494,0.7368,0.6667,0.6667
"AMZ","technical",6,3,0.2,"32-64-128",3,64,0.7143,0.5357,0.5357,0.5952,0.1031,0.5357,0.7143,0.0178,0.8095,0.8095,0.4286
"AMZ","technical",6,5,0.2,"64-128-256",3,64,0.7308,0.6154,0.8077,0.7179,0.0968,0.6154,0.8077,0.0012,0.8837,0.95,0.3333
"AMZ","closing",2,1,0.2,"32-64-128",3,64,0.7059,0.7059,0.2941,0.5686,0.2377,0.2941,0.7059,0.0122,0.8276,1,0
"AMZ","closing",2,3,0.2,"32-64-128",3,64,0.7812,0.7812,0.7812,0.7812,0,0.7812,0.7812,0.0011,0.8772,1,0
"AMZ","closing",2,5,0.2,"32-64-128",3,64,0.8,0.8,0.8,0.8,0,0.8,0.8,7e-04,0.8889,1,0
"AMZ","closing",4,1,0.2,"32-64-128",3,64,0.2812,0.2812,0.3125,0.2917,0.018,0.2812,0.3125,0.99,0.0833,0.0435,1
"AMZ","closing",4,3,0.2,"32-64-128",3,64,0.7667,0.7667,0.7667,0.7667,0,0.7667,0.7667,0.0026,0.8679,1,0
"AMZ","closing",4,5,0.2,"32-64-128",3,64,0.7857,0.7857,0.7857,0.7857,0,0.7857,0.7857,0.0019,0.88,1,0
"AMZ","closing",6,1,0.3,"64-128-256",3,64,0.7,0.3,0.3,0.4333,0.2309,0.3,0.7,0.0214,0.8235,1,0
"AMZ","closing",6,3,0.3,"32-64-128",3,64,0.6429,0.75,0.75,0.7143,0.0619,0.6429,0.75,0.0063,0.8571,1,0
"AMZ","closing",6,5,0.2,"32-64-128",3,64,0.7308,0.7692,0.7308,0.7436,0.0222,0.7308,0.7692,0.0047,0.8571,0.9,0.3333
