"Fon","Output","Naive_Acc"
"ALZ",1,1
"ALZ",3,1
"ALZ",5,1
"ALZ",1,1
"ALZ",3,1
"ALZ",5,1
"ALZ",1,1
"ALZ",3,1
"ALZ",5,1
"AZS",1,0.6
"AZS",3,0.8485
"AZS",5,0.9032
"AZS",1,0.6
"AZS",3,0.8485
"AZS",5,0.9032
"AZS",1,0.6
"AZS",3,0.8485
"AZS",5,0.9032
"AMZ",1,0.6
"AMZ",3,0.7879
"AMZ",5,0.8387
"AMZ",1,0.6
"AMZ",3,0.7879
"AMZ",5,0.8387
"AMZ",1,0.6
"AMZ",3,0.7879
"AMZ",5,0.8387
