"Input","Output","Best_d","Test_Acc"
2,1,3,0.5016
2,3,1,0.5248
2,5,1,0.5183
4,1,3,0.4984
4,3,1,0.4851
4,5,1,0.495
6,1,3,0.5115
6,3,1,0.5578
6,5,1,0.5282
