"Fon","Feature_Set","Input","Output","Optimizer","Activation","Dropout","Seed_23","Seed_27","Seed_98","Mean_Acc","SD","Min_Acc","Max_Acc","P_Value","F1","Sens","Spec"
"AZS","closing",6,3,"adam","relu",0,0.25,0.25,0.75,0.4167,0.2887,0.25,0.75,0.0063,0.8571,1,0
"AZS","closing",6,5,"adam","relu",0,0.1923,0.1923,0.1923,0.1923,0,0.1923,0.1923,0.9997,NA,0,1
"AMZ","full",2,1,"adam","tanh",0,0.4412,0.5294,0.4412,0.4706,0.0509,0.4412,0.5294,0.4321,0.6522,0.625,0.3
"AMZ","full",2,3,"adam","tanh",0.4,0.8438,0.7188,0.8438,0.8021,0.0722,0.7188,0.8438,1e-04,0.8936,0.84,0.8571
"AMZ","full",2,5,"sgd","tanh",0,0.6,0.7667,0.6667,0.6778,0.0839,0.6,0.7667,0.0026,0.8511,0.8333,0.5
"AMZ","full",4,1,"sgd","tanh",0,0.4688,0.625,0.5938,0.5625,0.0827,0.4688,0.625,0.1077,0.7,0.6087,0.6667
"AMZ","full",4,3,"adam","tanh",0.2,0.6333,0.2,0.6,0.4778,0.2411,0.2,0.6333,0.1002,0.7442,0.6957,0.4286
"AMZ","full",4,5,"sgd","tanh",0.4,0.4643,0.5,0.4643,0.4762,0.0206,0.4643,0.5,0.5747,0.6316,0.5455,0.3333
"AMZ","full",6,1,"adam","tanh",0,0.5333,0.5,0.3333,0.4556,0.1072,0.3333,0.5333,0.4278,0.5625,0.4286,0.7778
"AMZ","full",6,3,"sgd","tanh",0.2,0.6071,0.3571,0.4643,0.4762,0.1254,0.3571,0.6071,0.1725,0.7179,0.6667,0.4286
"AMZ","full",6,5,"sgd","tanh",0.2,0.4615,0.3846,0.5385,0.4615,0.0769,0.3846,0.5385,0.4225,0.6842,0.65,0.1667
"AMZ","technical",2,1,"adam","relu",0.4,0.7059,0.6765,0.7059,0.6961,0.017,0.6765,0.7059,0.0122,0.7727,0.7083,0.7
"AMZ","technical",2,3,"adam","tanh",0.2,0.5312,0.5,0.5938,0.5417,0.0477,0.5,0.5938,0.1885,0.7111,0.64,0.4286
"AMZ","technical",2,5,"sgd","tanh",0,0.5667,0.6667,0.5667,0.6,0.0577,0.5667,0.6667,0.0494,0.7619,0.6667,0.6667
"AMZ","technical",4,1,"adam","relu",0.2,0.4375,0.5,0.625,0.5208,0.0955,0.4375,0.625,0.1077,0.7,0.6087,0.6667
"AMZ","technical",4,3,"sgd","tanh",0,0.5333,0.6,0.5333,0.5556,0.0385,0.5333,0.6,0.1808,0.7391,0.7391,0.1429
"AMZ","technical",4,5,"adam","relu",0,0.75,0.7857,0.7857,0.7738,0.0206,0.75,0.7857,0.0019,0.875,0.9545,0.1667
"AMZ","technical",6,1,"adam","tanh",0.2,0.3333,0.3,0.5333,0.3889,0.1262,0.3,0.5333,0.4278,0.5882,0.4762,0.6667
"AMZ","technical",6,3,"sgd","relu",0,0.7143,0.6786,0.6429,0.6786,0.0357,0.6429,0.7143,0.0178,0.8333,0.9524,0
"AMZ","technical",6,5,"adam","relu",0,0.5,0.6923,0.7308,0.641,0.1236,0.5,0.7308,0.0145,0.8372,0.9,0.1667
"AMZ","closing",2,1,"adam","tanh",0,0.2941,0.2941,0.2941,0.2941,0,0.2941,0.2941,0.9955,NA,0,1
"AMZ","closing",2,3,"adam","relu",0,0.7812,0.7812,0.7812,0.7812,0,0.7812,0.7812,0.0011,0.8772,1,0
"AMZ","closing",2,5,"adam","relu",0,0.8,0.8,0.8,0.8,0,0.8,0.8,7e-04,0.8889,1,0
"AMZ","closing",4,1,"adam","relu",0,0.2812,0.2812,0.2812,0.2812,0,0.2812,0.2812,0.9965,NA,0,1
"AMZ","closing",4,3,"sgd","relu",0,0.7667,0.7667,0.7667,0.7667,0,0.7667,0.7667,0.0026,0.8679,1,0
"AMZ","closing",4,5,"adam","relu",0,0.7857,0.7857,0.7857,0.7857,0,0.7857,0.7857,0.0019,0.88,1,0
"AMZ","closing",6,1,"adam","relu",0,0.7,0.7,0.3,0.5667,0.2309,0.3,0.7,0.0214,0.8235,1,0
"AMZ","closing",6,3,"adam","relu",0,0.75,0.75,0.75,0.75,0,0.75,0.75,0.0063,0.8571,1,0
"AMZ","closing",6,5,"adam","relu",0,0.7692,0.7692,0.7692,0.7692,0,0.7692,0.7692,0.0047,0.8696,1,0
